date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:40:51	62211/62211	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2014:40:48%20GMT	http://pitersmile.com/prajs-list/	/Users/dmitribarabanov/websites/a/pitersmile.com/prajs-list/index.html	(from http://pitersmile.com/)
17:40:53	36804/36804	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2014:40:50%20GMT	http://pitersmile.com/aktsii/	/Users/dmitribarabanov/websites/a/pitersmile.com/aktsii/index.html	(from http://pitersmile.com/)
17:40:57	37648/37648	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2014:40:53%20GMT	http://pitersmile.com/vrachi/	/Users/dmitribarabanov/websites/a/pitersmile.com/vrachi/index.html	(from http://pitersmile.com/)
17:41:11	175503/175503	---M--	200	added ('OK')	image/jpeg	etag:%2214413c9-2ad8f-554068dff8284%22	http://pitersmile.com/wp-content/uploads/2017/01/bg11.jpg	/Users/dmitribarabanov/websites/a/pitersmile.com/wp-content/uploads/2017/01/bg11.jpg	(from http://pitersmile.com/)
17:41:40	137543/137543	---M--	200	added ('OK')	image/jpeg	etag:%221445ee7-21947-53a40bb5856c0%22	http://pitersmile.com/wp-content/uploads/2016/08/shutterstock_127430708_1300.jpg	/Users/dmitribarabanov/websites/a/pitersmile.com/wp-content/uploads/2016/08/shutterstock_127430708_1300.jpg	(from http://pitersmile.com/)
17:41:49	50132/50132	---M--	200	added ('OK')	image/jpeg	etag:%221441b4c-c3d4-5804ec1278811%22	http://pitersmile.com/wp-content/uploads/2019/01/3D-Smile-mldent.jpeg	/Users/dmitribarabanov/websites/a/pitersmile.com/wp-content/uploads/2019/01/3D-Smile-mldent.jpg	(from http://pitersmile.com/)
17:41:51	37/37	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Feb%202019%2014:41:49%20GMT	http://pitersmile.com/o-klinike	/Users/dmitribarabanov/websites/a/pitersmile.com/o-klinike	(from http://pitersmile.com/)
17:41:57	223502/223502	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2014:41:51%20GMT	http://pitersmile.com/blog/	/Users/dmitribarabanov/websites/a/pitersmile.com/blog/index.html	(from http://pitersmile.com/)
17:41:59	350902/350902	---M--	200	added ('OK')	image/jpeg	etag:%221445ed1-55ab6-53a41151c1340%22	http://pitersmile.com/wp-content/uploads/2016/08/2_full.jpg	/Users/dmitribarabanov/websites/a/pitersmile.com/wp-content/uploads/2016/08/2_full.jpg	(from http://pitersmile.com/)
17:41:59	1974/1974	---M--	200	added ('OK')	image/png	etag:%221d684ba-7b6-5233bd7326500%22	http://pitersmile.com/wp-content/themes/stoma_theme/img/icon_doctors.png	/Users/dmitribarabanov/websites/a/pitersmile.com/wp-content/themes/stoma_theme/img/icon_doctors.png	(from http://pitersmile.com/)
17:42:00	27/27	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Feb%202019%2014:41:59%20GMT	http://pitersmile.com/vrachi	/Users/dmitribarabanov/websites/a/pitersmile.com/vrachi	(from http://pitersmile.com/)
17:42:03	32624/32624	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2014:42:00%20GMT	http://pitersmile.com/zaregistrirovat-vip-kartu/	/Users/dmitribarabanov/websites/a/pitersmile.com/zaregistrirovat-vip-kartu/index.html	(from http://pitersmile.com/)
17:42:03	31320/31320	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2014:42:00%20GMT	http://pitersmile.com/kontakty/	/Users/dmitribarabanov/websites/a/pitersmile.com/kontakty/index.html	(from http://pitersmile.com/)
17:42:05	1636/1636	---M--	200	added ('OK')	image/png	etag:%221d684b7-664-5233bd7326500%22	http://pitersmile.com/wp-content/themes/stoma_theme/img/icon_cost.png	/Users/dmitribarabanov/websites/a/pitersmile.com/wp-content/themes/stoma_theme/img/icon_cost.png	(from http://pitersmile.com/)
17:42:07	41886/41886	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2014:42:04%20GMT	http://pitersmile.com/aktsiya-5/	/Users/dmitribarabanov/websites/a/pitersmile.com/aktsiya-5/index.html	(from http://pitersmile.com/)
17:42:07	37/37	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Feb%202019%2014:42:05%20GMT	http://pitersmile.com/prajs-list	/Users/dmitribarabanov/websites/a/pitersmile.com/prajs-list	(from http://pitersmile.com/)
17:42:11	41930/41930	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2014:42:07%20GMT	http://pitersmile.com/aktsiya-gigiena-polosti-rta-polnyj-kompleks/	/Users/dmitribarabanov/websites/a/pitersmile.com/aktsiya-gigiena-polosti-rta-polnyj-kompleks/index.html	(from http://pitersmile.com/)
17:42:11	39935/39935	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2014:42:07%20GMT	http://pitersmile.com/aktsiya-implantatsiya-zubov-sistemoj-impro-22000-rublej/	/Users/dmitribarabanov/websites/a/pitersmile.com/aktsiya-implantatsiya-zubov-sistemoj-impro-22000-rublej/index.html	(from http://pitersmile.com/)
17:42:13	1662/1662	---M--	200	added ('OK')	image/png	etag:%221d684ce-67e-5233bd750e980%22	http://pitersmile.com/wp-content/themes/stoma_theme/img/icon_technology.png	/Users/dmitribarabanov/websites/a/pitersmile.com/wp-content/themes/stoma_theme/img/icon_technology.png	(from http://pitersmile.com/)
17:42:14	41011/41011	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2014:42:12%20GMT	http://pitersmile.com/aktsiya-metallokeramicheskaya-koronka-co-cr-standart-7700-rublej/	/Users/dmitribarabanov/websites/a/pitersmile.com/aktsiya-metallokeramicheskaya-koronka-co-cr-standart-7700-rublej/index.html	(from http://pitersmile.com/)
